qtr,p_mean,p10,p90
2004q1,14.06089,10,19
2004q2,14.27563,10,19.66667
2004q3,14.46977,10,20
2004q4,14.58017,10,20
2005q1,14.59989,10,19.83333
2005q2,14.58969,10,19.66667
2005q3,15.07535,10,20
2005q4,15.02683,10,20
2006q1,15.04992,10,20
2006q2,15.13632,10,21.33333
2006q3,15.39849,10,22
2006q4,15.4754,10,22
2007q1,15.53065,10,22
2007q2,15.70517,10,22.08333
2007q3,15.95744,10,22.5
2007q4,16.24579,10,22.81667
2008q1,16.80171,10,24.5
2008q2,17.30258,10,25
2008q3,17.44806,10,25
2008q4,17.70535,10,25
2009q1,17.82978,10,26.66667
2009q2,17.93085,10,26.66667
2009q3,17.93577,10,26.33333
2009q4,18.11744,10,26.66667
2010q1,18.09047,10,27.5
2010q2,17.9518,10,26.91667
2010q3,17.96689,10,27
2010q4,18.29509,10,27.48333
2011q1,18.61368,10,28.16667
2011q2,18.55685,10,27.33333
2011q3,18.53293,10,27.66667
2011q4,18.49686,10,27.66667
2012q1,18.21414,10,25.66667
2012q2,18.15567,10,25.16667
2012q3,18.34591,10,25.41667
2012q4,18.5143,10,25.91667
2013q1,18.13585,10,25.33333
2013q2,17.72812,10,25
2013q3,17.65989,10,25
2013q4,17.68273,10,25
2014q1,17.69139,10,25
2014q2,17.73921,10,25
2014q3,17.80254,10,25
2014q4,18.00087,10,25.33333
2015q1,18.37366,10,26.31667
2015q2,18.64409,10,26.98333
2015q3,18.48842,10,26.975
2015q4,18.69512,10,27.66667
2016q1,18.91102,10.66667,27.66667
2016q2,19.19327,10.33333,29.66667
2016q3,19.21515,10.66667,30
2016q4,19.33352,12,30
2017q1,19.65559,10,30
2017q2,19.62542,10,30
2017q3,19.70592,10,30
2017q4,19.83079,12,30
2018q1,19.50073,11,30
2018q2,19.53668,11.16667,30
2018q3,19.49759,10.16667,30
2018q4,19.70692,11,30
2019q1,19.96184,12,30
2019q2,20.06121,12,30
2019q3,20.16098,12,30
2019q4,20.42585,12,30
2020q1,20.29939,12,30
2020q3,20.95163,12,30
2020q4,21.25096,12,30
2021q2,21.32262,12,30
2021q3,21.22742,12,30
